"DataSource","USGS_or_Durham_station_ID","Sample_date","Sample_time","Instantaneous_flow_cfs","Daily_mean_flow_cfs","Dissolved_oxygen_mg.L","pH_standard_units","Specific_conductance_uS.cm_25C","Water_temperature_C","Turbidity_unfiltered_NTU","Ammonia.organicN_unfiltered_mg.L_N","Nitrate.nitrite_unfiltered_mg.L_N","Nitrate.nitrite_filtered_mg.L_.N","Total.nitrogen_computed_mg.L_N","Total_nitrogen_measured_mg.L_N","Phosphorus_unfiltered_mg.L_P","year"
"City of Durham","NH3.3SC",2017-07-19,905,0.61,"0.66",6.9,"7.3",284,23.1,"2.7","0.42","0.27","--",0.69,"--",0.07,"2017"
"USGS","209722970",2017-08-13,715,52,"12.8",NA,"--",84,NA,"180","1","--","0.36",1.36,"--",0.242,"2017"
"City of Durham","NH3.3SC",2017-08-23,900,0.94,"1.02",5.6,"7.4",242,24.7,"5.7","0.72","E0.08","--",0.8,"--",0.1,"2017"
"USGS","209722970",2017-09-01,1845,298,"25.9",NA,"--",37,NA,"470","2.4","--","0.28",2.68,"--",0.663,"2017"
"City of Durham","NH3.3SC",2017-09-20,925,2.27,"2.26",6.5,"7.2",242,20.5,"2.3","E0.27","0.14","--",NA,"--",0.05,"2017"
"USGS","209722970",2017-10-11,1900,45,"7.55",NA,"--",116,NA,"350","2.2","--","0.16",2.36,"--",0.658,"2017"
"City of Durham","NH3.3SC",2017-10-18,900,0.82,"0.96",7.3,"6.7",194,12.6,"4.8","E0.27","<0.04","--",NA,"--",0.03,"2017"
"USGS","209722970",2017-10-23,2235,316,"29.8",NA,"--",49,NA,"780","3","--","0.25",3.25,"--",0.83,"2017"
"USGS","209722970",2017-11-13,452,68,"16.7",NA,"--",90,NA,"170","1.1","--","0.23",1.33,"--",0.345,"2017"
"City of Durham","NH3.3SC",2017-11-15,845,1.15,"1.25",8.7,"6.4",132,8.5,"9.1","0.45","0.14","--",0.59,"--",0.1,"2017"
"USGS","209722970",2017-12-08,2254,88,"17.1",NA,"--",97,NA,"99","0.75","--","0.3",1.05,"--",0.252,"2017"
"City of Durham","NH3.3SC",2017-12-13,900,0.58,"0.53",11.2,"6.7",216,2.7,"6.9","0.37","--","--",NA,"--",0.09,"2017"
"USGS","209722970",2017-12-21,930,1.7,"2.17",NA,"--",263,NA,"13","0.37","--","0.24",0.61,"--",0.07,"2017"
"USGS","209722970",2018-01-12,2211,79,"19.9",NA,"--",363,NA,"200","1.4","--","0.54",1.94,"--",0.4,"2018"
"City of Durham","NH3.3SC",2018-01-16,850,0.11,"0.13",NA,"7.2",345,0.5,"8.9","0.46","0.33","--",0.79,"--",0.07,"2018"
"City of Durham","NH3.3SC",2018-02-20,830,1.77,"1.69",9.6,"7.3",313,10.7,"10.1","0.77","0.34","--",1.11,"--",0.037,"2018"
"City of Durham","NH3.3SC",2018-03-20,815,60.8,"30.1",10.1,"7.2",115,12.9,"253","1.93","0.26","--",2.19,"--",0.6,"2018"
"City of Durham","NH3.3SC",2018-04-17,815,5.92,"5.18",NA,"6.9",188,12.1,"59.6","1.35","0.61","--",1.96,"--",0.23,"2018"
"City of Durham","NH3.3SC",2018-05-15,845,1.26,"1.25",5,"7.2",347,23.5,"6.5","1.64","0.89","--",2.53,"--",0.08,"2018"
"City of Durham","NH3.3SC",2018-06-19,835,0.25,"0.29",5.3,"7.2",272,24.6,"10.6","0.57","0.14","--",0.71,"--",0.08,"2018"
